symbol,name,price,peratio,marketcap,annrevenue,netincome,sales12,sales13,sales14,sales15,sales16,spt12,spt13,spt14,spt15,spt16,in12,in13,in14,in15,in16,ipt12,ipt13,ipt14,ipt15,ipt16,eps12,eps13,eps14,eps15,eps16,ept12,ept13,ept14,ept15,ept16
IT,Gartner Inc,109.06,47.24,8.93B,2444.54,193.58,1.62B,1.78B,2.02B,2.16B,2.44B,-,10.42,13.3,7.01,13.01,165.9M,182.8M,183.77M,175.64M,193.58M,-,10.19,0.53,-4.42,10.22,1.78,1.97,2.06,2.09,2.34,-,10.67,4.57,1.46,11.96
MSTR,MicroStrategy Incorporated,186.14,47.2,2.12B,512.16,90.91,594.61M,575.89M,579.83M,529.87M,512.16M,-,-3.15,0.68,-8.62,-3.34,20.55M,26.55M,5.04M,105.93M,90.91M,-,29.22,-81.04,2003.89,-14.18,1.87,2.3,0.45,9.33,7.96,-,22.83,-80.41,1973.11,-14.67
MOMO,Momo Inc (ADR),33.33,47.08,6.58B,553.1,145.25,-,3.13M,44.58M,133.9M,551.68M,-,-,1323.14,200.37,311.99,(2.83M),(7.98M),(25.32M),13.69M,144.88M,-,-181.68,-217.16,154.07,958.39,-0.1,-0.24,-1.93,0.08,0.76,-,-140.3,-704.16,104.13,848.69
WILN,Wi-Lan Inc (USA),1.88,47,225.88M,-,-,87.93M,90.89M,108.58M,131.59M,123.05M,-,3.37,19.46,21.19,-6.49,(14.51M),(18.64M),10.73M,12.84M,14.64M,-,-28.44,157.53,19.71,14.04,-0.12,-0.15,0.09,0.1,0.12,-,-28.83,157.18,15.84,16.41
VIMC,Vimicro International Corporation (ADR),13.43,-,-,417.21M,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRG,Airgain Inc,14.5,45.77,135.90M,43.43,2.2,18.2M,25.39M,25.51M,27.79M,43.43M,-,39.54,0.46,8.95,56.28,(1.09M),165056,3.59M,-270342,3.73M,-,115.18,2073.99,-107.53,1481.11,-0.15,0.02,0.16,-0.38,0.65,-,115.18,600.88,-334.79,273.24
ACLS,Axcelis Technologies Inc,16.3,45.41,489.20M,266.98,11,203.39M,195.63M,203.05M,301.5M,266.98M,-,-3.81,3.79,48.48,-11.45,(34.03M),(17.14M),(11.27M),14.68M,11M,-,49.63,34.29,230.29,-25.05,-1.28,-0.64,-0.4,2.04,0.38,-,50,37.5,610,-81.37
CDNS,Cadence Design Systems Inc,31.61,45.36,8.80B,1816.08,203.09,1.33B,1.46B,1.58B,1.7B,1.82B,-,10.08,8.27,7.66,6.7,439.95M,164.24M,158.9M,252.42M,203.09M,-,-62.67,-3.25,58.85,-19.54,1.63,0.59,0.56,0.88,0.71,-,-63.8,-5.08,57.14,-19.32
SYNA,Synaptics Incorporated,49.18,45.29,1.76B,1666.9,72.2,548.23M,663.59M,947.54M,1.7B,1.67B,-,21.04,42.79,79.73,-2.12,54.14M,98.93M,46.69M,110.4M,72.2M,-,82.72,-52.81,136.46,-34.6,1.64,3.03,1.34,2.99,1.97,-,84.76,-55.78,123.13,-34.11
SSTK,Shutterstock Inc,41,45.05,1.43B,494.32,32.63,169.62M,235.52M,327.97M,425.15M,494.32M,-,38.85,39.26,29.63,16.27,51.63M,26.4M,22.05M,19.55M,32.63M,-,-48.87,-16.49,-11.33,66.9,1.79,0.78,0.63,0.54,0.93,-,-56.42,-19.23,-14.29,72.22
PAR,PAR Technology Corporation,7.03,44.4,111.66M,229.65,2.5,245.16M,241.39M,233.61M,229M,229.65M,-,-1.54,-3.22,-1.97,0.28,(1.76M),569000,(3.65M),4.02M,2.5M,-,132.29,-741.65,210.13,-37.73,-0.02,0.02,-0.24,0.1,0.15,-,200,-1300,140.63,53.85
BRCD,Brocade Communications Systems Inc.,12.52,44.32,5.11B,2345.61,213.82,2.24B,2.22B,2.21B,2.26B,2.35B,-,-0.67,-0.52,2.36,3.63,195.18M,208.62M,237.97M,340.36M,213.82M,-,6.89,14.07,43.03,-37.18,0.43,0.46,0.55,0.81,0.52,-,6.98,19.57,47.27,-35.8
SAPE,Sapient Corp,24.98,-,-,3.50B,43.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIEN,Ciena Corporation,23.61,43.13,3.34B,2600.57,72.58,1.83B,2.08B,2.29B,2.45B,2.6B,-,13.56,9.88,6.88,6.33,(144.02M),(85.43M),(40.64M),11.67M,72.58M,-,40.68,52.43,128.71,522.13,-1.45,-0.83,-0.38,0.1,0.52,-,42.76,54.22,126.32,420
ZIXI,Zix Corporation,4.63,43.07,248.49M,60.14,5.84,43.36M,48.14M,50.35M,54.71M,60.14M,-,11.03,4.59,8.67,9.93,11M,10.45M,4.1M,5.02M,5.84M,-,-5,-60.75,22.25,16.37,0.18,0.17,0.07,0.09,0.11,-,-5.56,-58.82,28.57,22.22
NVDA,NVIDIA Corporation,107.47,42.82,63.30B,6910,1666,4.28B,4.13B,4.68B,5.01B,6.91B,-,-3.5,13.35,7.02,37.92,562.54M,439.99M,630.59M,614M,1.67B,-,-21.78,43.32,-2.63,171.34,0.91,0.75,1.14,1.13,3.08,-,-17.58,52,-0.88,172.57
TTEC,TeleTech Holdings Inc.,29.9,42.72,1.39B,1275.26,33.68,1.16B,1.19B,1.25B,1.3B,1.28B,-,2.32,5.05,4.35,-1.84,70.02M,67.39M,72.29M,61.67M,33.68M,-,-3.75,7.28,-14.7,-45.39,1.28,1.31,1.47,1.27,0.71,-,2.34,12.21,-13.61,-44.09
DATE,Jiayuan.com International Ltd,7.49,-,-,256.31M,42.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Visa Inc,89.19,42.2,207.78B,15082,5929,10.42B,11.78B,12.7B,13.88B,15.08B,-,13.02,7.85,9.27,8.66,2.14B,4.96B,5.42B,6.31B,5.93B,-,132.15,9.27,16.45,-6.08,0.8,1.91,2.17,2.58,2.49,-,138.21,13.83,19.03,-3.72
IRBT,iRobot Corporation,62.49,41.68,1.73B,660.6,41.94,436.24M,487.4M,556.85M,616.78M,660.6M,-,11.73,14.25,10.76,7.11,17.3M,27.64M,37.8M,44.13M,41.94M,-,59.8,36.76,16.74,-4.96,0.63,0.97,1.28,1.49,1.51,-,53.97,31.96,16.41,1.34
SMTC,Semtech Corporation,34.35,41.57,2.26B,544.27,54.66,578.83M,594.98M,557.89M,490.22M,544.27M,-,2.79,-6.23,-12.13,11.03,41.94M,(164.47M),27.95M,11.5M,54.66M,-,-492.16,116.99,-58.86,375.44,0.64,-2.44,0.42,0.18,0.84,-,-481.25,117.21,-57.14,366.67
FEIC,FEI Company,106.89,-,-,4.39B,41.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLRO,ClearOne Incoprorated,10.55,41.38,92.72M,48.64,2.44,46.42M,49.59M,57.91M,57.8M,48.64M,-,6.84,16.77,-0.2,-15.85,26.65M,5.18M,5.6M,6.78M,2.44M,-,-80.56,8.05,21.09,-63.93,2.93,0.57,0.61,0.74,0.27,-,-80.55,7.02,21.31,-63.51
ALU,Alcatel Lucent SA (ADR),3.47,41.23,10.15B,15732.44,317.4,110.62M,116.77M,88.86M,90.3M,92.23M,-,5.56,-23.9,1.62,2.15,413000,1.89M,4.79M,4.81M,5.18M,-,356.66,153.92,0.33,7.76,0.01,0.05,0.11,0.14,0.16,-,341.67,113.21,23.01,12.95
AEY,ADDvantage Technologies Group Inc.,1.97,40.91,19.27M,38.66,0.29,35.22M,33.36M,35.89M,43.73M,38.66M,-,-5.28,7.59,21.86,-11.59,1.25M,1.67M,659189,1.5M,294163,-,33.52,-60.52,127.23,-80.36,0.12,0.17,0.06,0.15,0.03,-,41.67,-63.41,139.55,-80.47
XCRA,Xcerra Corp,8.85,40.43,489.38M,324.21,2.46,132.13M,151.98M,330.87M,397.98M,324.21M,-,15.02,117.71,20.28,-18.54,(19.87M),(12.13M),833000,31.52M,2.46M,-,38.97,106.87,3683.67,-92.2,-0.4,-0.25,0.02,0.53,-0.04,-,37.5,108,2550,-108.43
FB,Facebook Inc,140.34,40.4,406.60B,27638,10188,5.09B,7.87B,12.47B,17.93B,27.64B,-,54.69,58.36,43.82,54.16,32M,1.49B,2.93B,3.67B,10.19B,-,4559.38,96.18,25.44,177.68,0.02,0.62,1.12,1.31,3.56,-,3000,80.65,16.96,171.76
POWI,Power Integrations Inc,64.3,39.77,1.89B,387.39,47.89,305.37M,347.09M,348.8M,343.99M,387.39M,-,13.66,0.49,-1.38,12.62,(34.4M),57.27M,59.54M,39.15M,47.89M,-,266.45,3.98,-34.26,22.33,-1.2,1.95,1.99,1.35,1.66,-,262.5,2.05,-32.16,22.96
EPAM,EPAM Systems Inc,73.27,39.39,3.77B,1160.13,99.27,433.8M,555.12M,730.03M,914.13M,1.16B,-,27.97,31.51,25.22,26.91,51.14M,61.99M,69.64M,84.46M,99.27M,-,21.22,12.34,21.27,17.54,1.27,1.35,1.48,1.73,1.97,-,6.3,9.63,16.89,13.87
INTU,Intuit Inc.,119.72,39.39,30.73B,4694,806,4.15B,4.17B,4.24B,4.19B,4.69B,-,0.48,1.73,-1.2,11.98,767M,823M,853M,413M,806M,-,7.3,3.65,-51.58,95.16,2.67,2.89,2.99,1.3,3.08,-,8.24,3.56,-56.57,136.64
AMSWA,American Software Inc.,10.16,39.06,299.42M,113.89,10.24,102.64M,100.47M,100.6M,102.87M,113.89M,-,-2.11,0.13,2.26,10.71,11.34M,10.41M,10.33M,8.13M,10.24M,-,-8.22,-0.77,-21.32,26.01,0.43,0.38,0.37,0.29,0.36,-,-11.63,-2.63,-21.62,24.14
LOJN,LoJack Corporation,6.44,-,-,126.74M,38.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFOP,Alliance Fiber Optic Products Inc,18.51,-,-,292.05M,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYPL,Paypal Holdings Inc,43.13,37.5,52.02B,10842,1401,5.62B,6.73B,8.06B,9.07B,10.72B,-,19.81,19.76,12.47,18.28,778M,955M,419M,1.23B,1.4B,-,22.75,-56.13,193.08,14.09,0.64,0.78,0.34,1,1.16,-,22.75,-56.13,190.7,16
SNPS,Synopsys Inc.,71.15,37.46,10.73B,2422.53,266.83,1.76B,1.95B,2.06B,2.23B,2.43B,-,11.2,5.13,8.65,8.88,182.4M,247.8M,259.12M,225.93M,266.83M,-,35.85,4.57,-12.81,18.1,1.24,1.62,1.67,1.46,1.76,-,30.65,3.09,-12.57,20.55
SNDK,SanDisk Corporation,76.18,-,-,15.38B,37.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAP,NetApp Inc.,40.88,37.08,11.05B,5546,229,6.19B,6.33B,6.33B,6.11B,5.55B,-,2.24,-0.08,-3.46,-9.19,605.4M,505.3M,637.5M,559.9M,229M,-,-16.53,26.16,-12.17,-59.1,1.66,1.4,1.87,1.77,0.78,-,-15.66,33.57,-5.35,-55.93
DTLK,Datalink Corporation,11.24,-,-,252.01M,36.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDK,CDK Global Inc,64.88,36.52,9.43B,2114.6,239.3,1.7B,1.84B,1.97B,2.06B,2.11B,-,8.42,7.31,4.56,2.48,160.8M,199.4M,226.9M,178.4M,239.3M,-,24,13.79,-21.38,34.14,-,-,1.42,1.11,1.52,-,-,-,-21.6,36.94
QIHU,Qihoo 360 Technology Co Ltd,76.92,35.96,9.99B,1804.58,306.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL,Jabil Circuit Inc.,28.74,35.67,5.22B,18353.09,254.1,17.15B,18.34B,15.77B,17.9B,18.35B,-,6.94,-14.03,13.53,2.54,394.69M,371.48M,(2.54M),292.59M,254.1M,-,-5.88,-100.68,11619.37,-13.16,1.91,1.83,0.09,1.47,1.33,-,-4.19,-95.14,1552.7,-9.28
ASML,ASML Holding NV (ADR),132.24,35.65,58.46B,7335,1588.92,4.73B,5.25B,5.86B,6.29B,6.79B,-,10.86,11.65,7.36,8.07,1.15B,1.19B,1.42B,1.62B,1.56B,-,4.15,18.8,14.18,-3.86,2.7,2.78,3.24,3.76,3.66,-,2.96,16.55,16.05,-2.66
AKAM,Akamai Technologies Inc.,63.63,35.46,11.02B,2340.05,316.13,1.37B,1.58B,1.96B,2.2B,2.34B,-,14.85,24.46,11.89,6.49,203.99M,293.49M,333.95M,321.41M,316.13M,-,43.87,13.79,-3.76,-1.64,1.15,1.65,1.87,1.8,1.81,-,43.48,13.33,-3.74,0.56
ANSS,ANSYS Inc.,105.7,35.38,9.02B,988.46,265.64,798.02M,861.26M,936.02M,942.75M,988.47M,-,7.92,8.68,0.72,4.85,203.48M,245.33M,254.69M,252.52M,265.64M,-,20.56,3.82,-0.85,5.19,2.2,2.65,2.77,2.82,3.05,-,20.45,4.53,1.81,8.16
BID,Sothebys,46.51,35.28,2.48B,805.38,73.11,768.49M,853.68M,938.05M,961.49M,805.38M,-,11.08,9.88,2.5,-16.24,107.84M,129.95M,116.75M,43.37M,73.11M,-,20.5,-10.16,-62.85,68.56,1.59,1.9,1.69,0.64,1.28,-,19.5,-11.05,-62.13,100
ON,ON Semiconductor Corp,15.18,35.27,6.39B,3906.9,182.1,2.89B,2.78B,3.16B,3.5B,3.91B,-,-3.88,13.62,10.56,11.76,(90.6M),150.8M,189.7M,206.2M,182.1M,-,266.45,25.8,8.7,-11.69,-0.2,0.34,0.43,0.49,0.44,-,270,26.47,13.95,-10.2
IIVI,II-VI Inc.,38,34.82,2.44B,827.22,65.49,534.63M,558.4M,683.26M,741.96M,827.22M,-,4.45,22.36,8.59,11.49,60.31M,50.81M,38.32M,65.98M,65.49M,-,-15.74,-24.59,72.19,-0.74,0.96,0.81,0.62,1.08,1.07,-,-15.63,-23.46,74.19,-0.93
GLOB,Globant SA,36.11,34.79,1.25B,322.86,36.72,128.85M,158.32M,199.61M,253.8M,322.86M,-,22.88,26.07,27.15,27.21,(1.3M),13.9M,25.2M,31.65M,36.72M,-,1168.41,81.3,25.6,16.01,-0.01,0.04,0.81,0.93,1.07,-,500,1925,14.81,15.05
BIDU,Baidu Inc (ADR),168.26,34.62,58.45B,10216.83,1684.56,3.54B,5.2B,7.95B,10.56B,10.6B,-,46.94,52.83,32.8,0.39,1.66B,1.71B,2.13B,5.3B,1.75B,-,3.23,24.27,149.05,-67.04,4.74,4.88,6.07,15.18,4.8,-,3,24.38,150.06,-68.39
FSL,Freescale Semiconductor Ltd,36.57,-,-,10.93B,34.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXTI,AXT Inc,5.65,34.39,208.58M,81.35,5.46,88.37M,85.34M,83.5M,77.5M,81.35M,-,-3.44,-2.15,-7.18,4.96,3.11M,(7.96M),(1.39M),(2.23M),5.64M,-,-355.88,82.56,-60.52,352.96,0.09,-0.25,-0.05,-0.07,0.17,-,-377.78,80,-40,342.86
OSTK,Overstock.com Inc.,17,34.39,431.22M,1799.96,12.52,1.1B,1.3B,1.5B,1.66B,1.8B,-,18.64,14.79,10.74,8.57,14.67M,88.51M,8.85M,2.45M,12.52M,-,503.37,-90,-72.37,411.94,0.63,3.73,0.37,0.1,0.49,-,492.06,-90.08,-72.97,390
OCLR,Oclaro Inc.,10.11,33.52,1.68B,407.91,8.58,385.46M,586.03M,390.87M,341.28M,407.91M,-,52.03,-33.3,-12.69,19.53,(66.5M),(122.75M),(102.13M),(48.23M),8.58M,-,-84.57,16.8,52.77,117.79,-1.32,-1.4,0.18,-0.52,0.08,-,-6.06,112.86,-388.89,115.38
SPNS,Sapiens International Corporation N.V.,13.07,33.33,638.04M,216.19,19.34,113.91M,135.38M,157.45M,185.64M,216.19M,-,18.85,16.3,17.9,16.46,11.78M,11.6M,14.46M,20.02M,19.34M,-,-1.49,24.64,38.39,-3.4,0.29,0.29,0.31,0.42,0.4,-,0,6.9,35.48,-4.76
AOL,AOL Inc.,49.99,-,-,3.92B,33.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTG,Entegris Inc,22.75,33.27,3.22B,1175.27,97.15,715.9M,693.46M,962.07M,1.08B,1.18B,-,-3.14,38.73,12.37,8.71,68.83M,74.53M,7.89M,80.3M,97.15M,-,8.28,-89.42,918.08,20.99,0.5,0.54,0.06,0.57,0.69,-,8,-88.89,850,21.05
NICE,Nice Ltd (ADR),67.13,33.22,4.04B,1015.54,123.07,3.39B,3.43B,3.12B,3.6B,3.9B,-,1.08,-8.96,15.45,8.26,261.83M,199.52M,358.26M,546.18M,472.43M,-,-23.8,79.56,52.45,-13.5,4.28,3.32,6.22,7.27,7.52,-,-22.43,87.44,16.73,3.56
AZPN,Aspen Technology Inc.,57.27,33.19,4.34B,472.34,139.95,243.13M,311.39M,391.45M,440.4M,472.34M,-,28.07,25.71,12.5,7.25,(13.81M),45.26M,85.78M,118.41M,139.95M,-,427.8,89.53,38.03,18.19,-0.15,0.48,0.93,1.34,1.69,-,420,93.75,44.09,26.12
NSSC,Napco Security Technologies Inc,10.35,32.98,196.52M,82.51,5.77,70.93M,71.39M,74.38M,77.76M,82.51M,-,0.65,4.2,4.54,6.11,2.29M,3.02M,3.48M,4.85M,5.77M,-,32.15,15.06,39.38,19.15,0.12,0.16,0.18,0.25,0.31,-,33.33,12.5,38.89,24
VMW,VMware Inc.,91.73,32.71,37.48B,7093,1186,4.61B,5.15B,6.04B,6.65B,7.09B,-,11.88,17.14,10.14,6.71,745.7M,1.01B,886M,997M,1.19B,-,35.98,-12.62,12.53,18.96,1.75,2.36,2.06,2.35,2.82,-,34.86,-12.71,14.08,20
AMBA,Ambarella Inc,54.69,32.65,1.81B,310.3,57.81,121.07M,157.61M,218.28M,316.37M,310.3M,-,30.18,38.49,44.94,-1.92,8.61M,25.62M,50.56M,76.51M,57.81M,-,197.6,97.32,51.32,-24.44,0.64,0.93,1.7,2.42,1.77,-,45.31,82.8,42.35,-26.86
TCX,Tucows Inc. (USA),49.05,32.45,514.52M,189.82,16.07,114.73M,129.93M,147.67M,172.94M,189.82M,-,13.26,13.65,17.11,9.76,4.42M,4.18M,6.37M,11.37M,16.07M,-,-5.51,52.47,78.44,41.27,0.4,0.4,0.57,1.04,1.53,-,0,42.5,82.46,47.12
PKE,Park Electrochemical Corp.,18.11,32.21,365.25M,145.86,18.03,193.25M,176.42M,165.76M,162.09M,145.86M,-,-8.71,-6.04,-2.22,-10.01,23.44M,16.96M,(42.33M),20.04M,18.03M,-,-27.65,-349.57,147.35,-10.05,1.13,0.82,-2.03,0.96,0.89,-,-27.43,-347.56,147.29,-7.29
TDC,Teradata Corporation,30.3,32.15,3.97B,2322,125,2.67B,2.69B,2.73B,2.53B,2.32B,-,1.01,1.49,-7.39,-8.22,419M,377M,367M,(214M),125M,-,-10.02,-2.65,-158.31,158.41,2.49,2.31,2.36,-1.53,0.96,-,-7.23,2.16,-164.83,162.75
LXFT,Luxoft Holding Inc,60.4,32.07,2.03B,650.75,70.25,271.14M,314.6M,398.33M,520.55M,650.75M,-,16.03,26.62,30.68,25.01,36.17M,37.54M,51.23M,63.15M,70.25M,-,3.78,36.48,23.27,11.25,1.24,1.27,1.59,1.93,2.13,-,2.42,25.2,21.38,10.36
FICO,Fair Isaac Corporation,126.85,32.03,3.94B,881.36,109.45,676.42M,743.44M,788.99M,838.78M,881.36M,-,9.91,6.13,6.31,5.08,92M,90.1M,94.88M,86.5M,109.45M,-,-2.07,5.31,-8.83,26.53,2.64,2.55,2.8,2.75,3.52,-,-3.41,9.8,-1.79,28
VRTU,Virtusa Corporation,30.31,67.19,914.83M,600.3,44.8,278.15M,332.95M,397.78M,479.38M,600.06M,-,19.7,19.47,20.51,25.18,20.04M,28.4M,34.38M,42.45M,44.8M,-,41.74,21.05,23.48,5.55,0.81,1.14,1.32,1.48,1.53,-,40.74,15.79,12.12,3.38
INOV,Inovalon Holdings Inc,11.75,66.39,1.73B,427.59,26.94,300.28M,295.8M,361.54M,437.27M,427.59M,-,-1.49,22.23,20.95,-2.21,55.16M,32.72M,65.35M,66.01M,26.94M,-,-40.68,99.74,1.01,-59.19,2,1.21,0.44,0.45,0.18,-,-39.5,-63.46,1.79,-60
BZUN,Baozun Inc (ADR),14.97,65.7,795.23M,491.35,12.56,151.46M,247.8M,256.77M,413.23M,509.29M,-,63.6,3.62,60.93,23.25,(7.5M),(6.15M),(9.69M),3.6M,13.01M,-,17.95,-57.61,137.11,261.76,-,-,-,-0.01,0.26,-,-,-,-,1927.97
ISIL,Intersil Corp,22.49,-,-,3.10B,64.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,Sierra Wireless Inc. (USA),29.7,64.17,952.98M,615.61,15.38,397.18M,455.29M,605.82M,777.6M,815.63M,-,14.63,33.06,28.36,4.89,(4.2M),(16.02M),(18.61M),(3.42M),20.38M,-,-281.44,-16.17,81.62,695.84,0.88,-0.51,-0.59,-0.1,0.64,-,-157.64,-15.44,82.51,721.09
JMEI,Jumei International Holding Ltd(ADR),3.73,63.84,537.88M,1067.51,17.87,21.78M,233.2M,483.54M,630.45M,1.13B,-,970.48,107.35,30.38,79.69,(4.03M),8.1M,25.03M,65.67M,18.96M,-,301.15,208.91,162.33,-71.12,-0.03,0.04,0.11,0.49,0.13,-,233.33,175.75,342.52,-73.39
INXN,InterXion Holding NV,38.64,63.49,2.73B,455.87,43.11,333M,386.7M,451.82M,428.66M,466.58M,-,16.13,16.84,-5.12,8.85,40.63M,9.06M,46.51M,53.86M,44.12M,-,-77.7,413.32,15.81,-18.08,0.6,0.13,0.68,0.78,0.63,-,-78,409.41,14.74,-18.77
RHT,Red Hat Inc,82.96,63.28,14.83B,2052.23,199.36,1.13B,1.33B,1.53B,1.79B,2.05B,-,17.27,15.49,16.61,14.68,146.63M,150.2M,178.29M,180.2M,199.37M,-,2.44,18.7,1.07,10.63,0.76,0.78,0.94,0.97,1.09,-,2.63,20.51,3.19,12.37
TTMI,TTM Technologies Inc.,15.9,62.69,1.60B,2533.36,34.86,1.35B,1.37B,1.33B,2.1B,2.53B,-,1.45,-3.11,58.06,20.9,(174.6M),21.88M,14.69M,(25.88M),34.86M,-,112.53,-32.84,-276.15,234.69,-2.13,0.27,0.18,-0.28,0.35,-,112.68,-33.33,-255.56,225
DAKT,Daktronics Inc.,9.19,62.33,405.87M,570.17,2.06,489.53M,518.32M,551.97M,615.94M,570.17M,-,5.88,6.49,11.59,-7.43,8.49M,22.78M,22.21M,20.88M,2.06M,-,168.34,-2.52,-5.96,-90.13,0.2,0.54,0.52,0.48,0.05,-,170,-3.7,-7.69,-89.58
CYBR,Cyberark Software Ltd,48.78,62.06,1.66B,216.61,28.12,47.21M,66.16M,103M,160.81M,216.61M,-,40.14,55.69,56.13,34.7,7.86M,6.64M,9.95M,25.79M,28.12M,-,-15.61,50.02,159.13,9.03,0.51,0.34,0.46,0.8,0.83,-,-33.33,35.29,73.91,3.75
YNDX,Yandex NV,22.41,61.78,7.17B,1322.38,118.4,925.82M,1.24B,1.31B,975.41M,1.13B,-,33.88,6.08,-25.81,16.19,264.64M,422.79M,440.8M,157.9M,101.47M,-,59.76,4.26,-64.18,-35.74,0.81,1.29,1.38,0.5,0.32,-,59.55,6.64,-64.08,-36.2
AOSL,Alpha and Omega Semiconductor Ltd,17.04,60.4,408.91M,335.66,-2.93,342.29M,337.44M,318.12M,327.94M,335.66M,-,-1.42,-5.72,3.08,2.36,12.92M,(5.58M),(3.31M),(7.94M),(2.93M),-,-143.16,40.66,-139.87,63.1,0.52,-0.22,-0.13,-0.3,-0.13,-,-142.31,40.91,-130.77,56.67
TRMB,Trimble Inc,31.32,60.04,7.92B,2362.2,132.4,2.04B,2.29B,2.4B,2.29B,2.36B,-,12.16,4.69,-4.39,3.13,191.06M,218.86M,214.12M,121.1M,132.4M,-,14.55,-2.16,-43.44,9.33,0.76,0.85,0.82,0.47,0.53,-,11.84,-3.53,-42.68,12.77
ARIS,ARI Network Services Inc.,5.05,59.92,86.48M,43.91,1.74,22.49M,30.1M,33.02M,40.44M,47.69M,-,33.82,9.69,22.48,17.93,1.06M,-753000,-102000,1.07M,1.74M,-,-171.37,86.45,1150,62.75,0.13,-0.08,-0.01,0.07,0.1,-,-161.54,87.5,800,42.86
DSPG,DSP Group Inc.,11.85,59.11,268.41M,137.87,4.81,162.79M,151.06M,143.04M,144.27M,137.87M,-,-7.2,-5.31,0.86,-4.44,(8.04M),2.68M,3.6M,1.56M,4.81M,-,133.28,34.6,-56.64,208.13,-0.37,0.12,0.16,0.07,0.22,-,132.43,33.33,-56.25,214.29
GRUB,GrubHub Inc,33.67,58.54,2.85B,493.33,49.56,82.3M,137.14M,253.87M,361.83M,493.33M,-,66.64,85.12,42.52,36.35,7.92M,6.75M,24.26M,38.08M,49.56M,-,-14.8,259.61,56.93,30.15,0.14,0.12,0.33,0.45,0.58,-,-14.29,175,36.36,28.89
MCRL,Micrel Incorporated,13.86,-,-,793.27M,57.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVA,CEVA Inc.,34.55,57.27,742.17M,72.65,13.1,53.68M,48.9M,50.81M,59.5M,72.65M,-,-8.9,3.9,17.11,22.11,13.69M,6.69M,-819000,6.27M,13.1M,-,-51.15,-112.25,865.2,109.03,0.6,0.3,-0.04,0.31,0.63,-,-50,-113.33,875,103.23
TATT,T.A.T. Technologies Ltd.,9.25,56.23,80.77M,85.61,5.85,87.92M,79.55M,80.73M,85.61M,95.79M,-,-9.52,1.48,6.05,11.9,(1.71M),5.25M,1.43M,5.85M,62000,-,406.36,-72.73,308.45,-98.94,-0.19,0.32,0.16,0.66,0.01,-,268.42,-50,312.5,-98.48
BKFS,Black Knight Financial Services Inc,37.85,56.18,5.86B,1026,45.8,2B,1.72B,852.1M,930.7M,1.03B,-,-13.72,-50.56,9.22,10.24,79.5M,105.1M,(106.3M),20M,45.8M,-,32.2,-201.14,118.81,129,0.83,1.2,0.39,0.31,0.69,-,44.05,-67.38,-20.51,122.58
SSNC,SS&amp;C Technologies Holdings Inc.,35.61,55.88,7.17B,1481.44,131,551.84M,712.7M,767.86M,1B,1.48B,-,29.15,7.74,30.27,48.1,45.82M,117.9M,131.13M,42.86M,131M,-,157.3,11.22,-67.31,205.62,0.3,0.73,0.79,0.24,0.65,-,145.76,8.28,-70.06,176.6
TYL,Tyler Technologies Inc.,154.48,55.31,5.66B,756.04,109.86,363.3M,416.64M,493.1M,591.02M,756.04M,-,14.68,18.35,19.86,27.92,32.99M,39.1M,58.94M,64.87M,109.86M,-,18.51,50.74,10.06,69.35,1.09,1.23,1.79,1.9,3.01,-,12.84,45.53,6.15,58.42
ADVS,Advent Software Inc.,44.24,-,-,2.33B,53.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCTT,Ultra Clean Holdings Inc,15.66,53.26,534.20M,562.76,10.05,403.43M,444.02M,513.96M,469.1M,562.76M,-,10.06,15.75,-8.73,19.96,5.15M,10.42M,11.36M,(10.73M),10.05M,-,102.29,8.95,-194.5,193.65,0.2,0.37,0.39,-0.34,0.31,-,85,5.41,-187.18,191.18
TYPE,Monotype Imaging Holdings Inc.,19.15,53.24,790.31M,203.44,14.4,149.86M,166.62M,184.5M,192.42M,203.44M,-,11.19,10.73,4.29,5.73,28.5M,30.58M,31.94M,25.58M,14.4M,-,7.32,4.44,-19.93,-43.71,0.78,0.81,0.83,0.66,0.37,-,3.85,2.47,-20.48,-43.94
ANET,Arista Networks Inc,131.77,53.01,9.32B,1129.17,182.96,193.41M,361.22M,584.11M,837.59M,1.13B,-,86.77,61.7,43.4,34.81,9.62M,20.78M,68.89M,119.12M,182.97M,-,115.93,231.56,72.91,53.6,0.39,0.22,1.42,1.81,2.66,-,-43.59,545.45,27.46,46.96
